,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BE,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
DK,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
DE,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
EL,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
ES,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
FR,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
IE,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
IT,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
LX,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
NL,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
AT,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
PT,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
FI,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
SW,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
UK,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
CZ,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
EN,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
CY,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
LV,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
LT,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
HU,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
MT,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
PL,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
SI,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
SK,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
BG,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
RO,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
NO,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
CH,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
IS,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
HR,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
TR,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
MK,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
US,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
JA,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
CA,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
AU,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
NZ,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
RS,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
RA,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
CN,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
IN,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
MX,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
BR,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
AR,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
CO,1,37,26.3,18.7,22.9,28,32.9,39.8,48.1,58.2,70.4,74.5,78.9,83.6,229,245,261,278,296,314,332,362,397,435,477,523,574,629,690,757,829,909,996,1091,1196,1310,1436,1573,1724,1890,2071
