,BE,DK,DE,EL,ES,FR,IE,IT,LX,NL,AT,PT,FI,SW,UK,CZ,EN,CY,LV,LT,HU,MT,PL,SI,SK,BG,RO,NO,CH,IS,HR,TR,MK,US,JA,CA,AU,NZ,RS,RA,CN,IN,MX,BR,AR,CO,LA,KR,TW,ID,AS,OP,RW,UE,SD,NG,SA,ON,OC,MY,KZ,AN,AC,AW,AE,ZA,EG,DC,KE,UA,PK
1 Hard coal,1,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.99,1,1,0.99,0.92,1,1,1,1,0.98,1,1,0.72,1,1,1,0.98,0.99,0.98,0.92,0.98,0.98,0.98,0.98,0.98,1,0.98,0.92,0.92,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.92,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.92
2 Other coal etc,1,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.99,1,1,0.99,0.92,1,1,1,1,0.98,1,1,0.72,1,1,1,0.98,0.99,0.98,0.92,0.98,0.98,0.98,0.98,0.98,1,0.98,0.92,0.92,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.92,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.92
3 Crude oil etc,0.99,0.89,1,0.95,0.94,0.9,1,0.89,1,1,1,0.63,1,1,1,0.79,0.31,0.85,0.6,0.44,0.12,0.28,0.19,0.91,1,0.1,0.21,1,1,1,0.66,0.01,0.51,0.89,0.89,1,0.71,1,0.31,0.73,0.35,0.61,0.37,0.1,0.35,0.37,0.37,0.97,0.35,0.61,0.61,0.71,0.71,0.22,0.71,0.71,0.71,0.71,0.71,0.61,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.61
4 Heavy fuel oil,0.99,0.89,1,0.95,0.94,0.9,1,0.89,1,1,1,0.63,1,1,1,0.79,0.31,0.85,0.6,0.44,0.12,0.28,0.19,0.91,1,0.1,0.21,1,1,1,0.66,0.01,0.51,0.89,0.89,1,0.71,1,0.31,0.73,0.35,0.61,0.37,0.1,0.35,0.37,0.37,0.97,0.35,0.61,0.61,0.71,0.71,0.22,0.71,0.71,0.71,0.71,0.71,0.61,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.61
5 Middle distillates,0.99,0.89,1,0.95,0.94,0.9,1,0.89,1,1,1,0.63,1,1,1,0.79,0.31,0.85,0.6,0.44,0.12,0.28,0.19,0.91,1,0.1,0.21,1,1,1,0.66,0.01,0.51,0.89,0.89,1,0.71,1,0.31,0.73,0.35,0.61,0.37,0.1,0.35,0.37,0.37,0.97,0.35,0.61,0.61,0.71,0.71,0.22,0.71,0.71,0.71,0.71,0.71,0.61,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.61
6 Other gas,0.99,1,1,1,0.89,0.93,0.98,0.91,0.97,0.98,0.99,0.68,0.73,0.95,0.98,0.88,0.86,1,0.71,0.78,0.94,0.91,0.8,0.96,1,0.95,0.81,1,0.99,1,0.93,0.94,1,0.93,0.82,0.99,0.95,0.85,0.82,0.91,0.53,0.7,0.75,0.4,0.9,0.75,0.75,0.85,0.53,0.7,0.7,0.9,0.9,0.7,0.9,0.9,0.9,0.9,0.9,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7
7 Natural gas,0.99,1,1,1,0.89,0.93,0.98,0.91,0.97,0.98,0.99,0.68,0.73,0.95,0.98,0.88,0.86,1,0.71,0.78,0.94,0.91,0.8,0.96,1,0.95,0.81,1,0.99,1,0.93,0.94,1,0.93,0.82,0.99,0.95,0.85,0.82,0.91,0.53,0.7,0.75,0.4,0.9,0.75,0.75,0.85,0.53,0.7,0.7,0.9,0.9,0.7,0.9,0.9,0.9,0.9,0.9,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7
8 Electricity,0.28,0.15,0.18,0.23,0.15,0.38,0.21,0.1,0.53,0.13,0.33,0.05,0.54,0.41,0.2,0.39,0.25,0.23,0.24,0.1,0.35,0.38,0.12,0.32,0.14,0.36,0.03,0.71,0.36,0.71,0.25,0.22,0.62,0.25,0.22,0.55,0.28,0.45,0.18,0.25,0.19,0.17,0.15,0.14,0.03,0.15,0.15,0.12,0.19,0.17,0.17,0.27,0.27,0.16,0.27,0.27,0.27,0.27,0.27,0.17,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.17
9 Heat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 Combustible waste,0.96,1,1,0.99,0.99,1,1,0.98,1,1,1,0.75,1,1,1,0.99,0.97,0.68,0.95,0.98,1,1,0.98,0.99,1,0.97,0.98,1,0.99,1,0.97,0.56,0.97,1,0.8,1,1,0.99,0.97,0.97,0.97,0.94,0.89,0.89,0.89,0.89,0.89,1,0.97,0.94,0.94,0.96,0.96,1,0.96,0.96,0.96,0.96,0.96,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.94
