,BE,DK,DE,EL,ES,FR,IE,IT,LX,NL,AT,PT,FI,SW,UK,CZ,EN,CY,LV,LT,HU,MT,PL,SI,SK,BG,RO,NO,CH,IS,HR,TR,MK,US,JA,CA,AU,NZ,RS,RA,CN,IN,MX,BR,AR,CO,LA,KR,TW,ID,AS,OP,RW,UE,SD,NG,SA,ON,OC,MY,KZ,AN,AC,AW,AE,ZA,EG,DC,KE,UA,PK
1,496,82.4,3212,152.6,1108.2,2543.1,85.7,2757.1,39.6,577,308.7,218.2,149.1,237.5,2103.3,0,0,27.8,0,0,84.3,9.4,408,70.1,0,39.5,82.6,70.7,361,6.9,68.7,284.2,0,9572.7,6710.8,938.5,508.2,80.2,0,0,0,3876.2,414.1,655.8,103.3,60.7,0,816.3,1342.1,1255.7,0,0,212.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,489.4,85.4,3561.1,207,1017,2271.3,72.7,2730,44.3,510.7,321.5,239,102.5,196.3,1668.8,0,0,26.3,0,0,99.5,5,762.7,62.6,0,34.2,82.6,62.1,341.8,9.6,87.8,275.5,0,8432,6448.9,922.6,437.3,60.3,0,0,0,3189.3,446.6,692.1,146.4,0,0,932.9,1356.7,3342.1,0,0,200.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,498.5,84.9,4088.7,243.5,1122,2345.7,72.5,2842.3,38.4,532.4,340.6,294.1,78.5,160.3,1659.2,0,0,26.8,0,0,99.2,10.5,488.6,57.4,0,46.1,83.6,68,316.8,7.5,34.9,333.4,0,8469,5876.9,849.18,469.9,55.8,0,0,0,3403.9,471.8,630.7,352.4,0,0,937.8,1394,3130.3,0,0,186.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,411.5,83.7,3379.9,196.3,883.9,1971.2,65.4,2195.4,30.9,432.3,308.6,260.6,65.8,130.5,1836.8,89.3,0,18.8,0,0,169.6,8.1,441.1,60.7,0,71.9,84.5,69.4,286.1,5.8,62,454.9,0,8741.8,5453.8,783.78,473.4,56.7,0,0,0,3644.6,432.6,917.6,417.8,122.7,0,997.9,1450.3,3232.7,0,0,198.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,421.5,141.7,3516.4,150.8,1079.6,2236.8,82.7,2209.2,30.4,510,298.9,293.2,77.2,167.8,1975.5,95.7,0,19.1,0,0,190.8,0,389.3,47.7,0,78.6,85.6,94.4,293.8,5.5,64.9,261.8,0,9235,5403.8,797.6,519.4,65.5,0,0,0,3881.6,478.2,1102.7,341.1,97.7,0,1136.8,1519.2,3040.4,0,0,195.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,394.4,138.1,3656.8,172.6,1024.3,2232.9,89.3,2387,29.3,524.9,309,255.6,89.9,179.9,2014.3,117,3.3,23.6,49.6,0,128,0,319.5,62.4,0,75.8,87.5,100.6,295.1,6.5,75.3,216.9,0,8850.2,5656.8,716.2,547.6,69.6,0,0,0,3794.2,217.9,1307.6,329.8,133.7,0,1160.8,1418.2,1237.9,0,0,259.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,435.7,145.4,3908.7,182.6,1123.4,2468.2,118.5,2398.2,31.3,550.9,342.9,251.8,102.1,194.4,2115,158.9,4.7,25.6,52.3,0,103.5,0,401.6,60.2,108.8,71.3,97.4,139.2,299.8,8.1,82.9,244.2,0,8717.4,5888.6,708.58,564.6,68.9,0,0,7564.1,3579.8,338.1,1522,339.2,119.2,0,1220.3,1237,1420.5,0,0,276.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,441.2,155.3,3973.7,213.7,1289.2,2075.9,139.4,3205.5,32.8,561.8,311.8,258.9,112.8,239.9,2264,176.6,9.6,24.9,71.9,0,85.9,10.1,487.1,65.3,87.1,29.4,94.3,142.2,300.1,10.3,118.2,324.1,0,8459.4,5680.2,786.98,634.4,63.3,736.4,0,8991.7,3868.4,506.9,1768.6,366.4,135.9,0,1490.2,1286.1,1874.3,0,0,271.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,503.9,165.9,4142.7,244.4,1568.9,2305.4,150.4,3303.1,37.3,627.3,337.2,294.6,136.7,272.5,2367.8,146.5,8.7,30.7,57.8,9.7,113.6,10.4,524,72.2,77.9,71.5,116.6,134,323.8,13.7,92.2,296.5,0,8330,5156.1,789.8,707.7,58.9,768.6,0,9510.4,4017.9,660.2,1427.1,382,191.5,0,1356.2,1165,506,0,0,238.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,556.6,147.9,4200.2,340.4,1810.6,2536.9,179.2,3265.5,42.2,700.9,359.3,311.4,150.2,319.8,2350.3,152.4,7.2,26.4,46.4,9.3,141.3,12.3,650,83.5,60.1,57.4,97.5,117.6,345.1,15.6,95.3,289.2,0,8855.2,4991.1,850,681.7,62.8,813.4,0,11157.7,4089.9,685.6,1452.8,321,145,111.5,1263.7,1043,552.2,0,0,219.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,575.3,125.8,3739.6,363,1702,2505.7,237.7,3259.6,43.6,684.2,354.5,290.5,146.2,318.9,2391.7,154.2,10.4,24.5,36.2,7.8,135.4,11.8,490.1,66,55.5,64.6,67,114.7,367.3,13.8,98.6,292.6,0,8976.6,5039.8,888.98,691.8,62,854.3,0,11210.8,4330.5,890,1750.8,270,152.9,118.75,1365.6,1022,918.8,0,0,240.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,540.1,105.4,3681,356.4,1666.2,2619,171.6,3009.4,44.4,604,333.9,279.9,120.6,277.7,2628,159.5,13.1,29.3,17.7,5,153.4,10,340.3,57,68.5,115.5,72.4,108.4,366.9,7.4,117.3,151.6,0,8597,5040.4,917.6,680.8,62.7,962.2,0,12205.1,4929.9,1016.4,1987.1,160.5,135.3,101.05,1278.4,831.8,1618.1,0,0,259.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,515.8,119.3,3551.6,330.2,1509,2480,164,2839.1,45.2,581.4,312.5,247,130.7,298.9,2723.3,158.9,15.4,32.1,8,6.8,179.7,10.9,330.2,54.2,67.5,57.3,89.5,108.4,342.5,7,108.5,106.7,0,8355.9,5212.5,997.42,723.5,69.4,1076.2,0,14301.1,5499.3,1118.5,2010.5,66.1,85.9,78.55,1434.3,871.8,2392.2,0,0,247.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,501.6,102.7,3521.2,322.9,1570,2351.3,150.2,2817.5,45.7,551.4,336.1,201,166.2,304.7,2734.8,159.3,16.5,34.5,8.9,8.4,217.3,11.3,370,66.7,63.7,48,107.4,110.4,319.2,10.1,124.9,254,0,7939.8,5476,942.34,615.6,77.3,1241.6,194.8,17799.3,6238.7,1115.8,2016.7,128.6,108.6,112.15,1180.5,1029.7,3036,0,0,263.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,527.6,129.3,3521.6,369.3,1758.6,2363.5,157.9,2818.6,50.1,540.4,350.3,209.2,168,303.1,2701.2,136.3,17.5,48.5,12,10.5,223.3,6.7,335.3,69.4,61.4,57.8,145.9,137.6,317.3,12.4,119.6,543.4,0,7914,5468.1,906.38,828.6,83.7,1471.3,234,20108.1,7238.3,1197.1,2169.4,215.5,186.1,178.7,1031.5,1063.9,4211.6,0,0,333.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
